Computer - Disc || 1000 Best Games for Windows (USA) || Computer/Disc/#-0/1000 Best Games for Windows (USA)/1000 Best Games for Windows (USA).json
Computer - Disc || AM2R - Another Metroid 2 Remake (USA) || Computer/Disc/A/AM2R - Another Metroid 2 Remake (USA)/AM2R - Another Metroid 2 Remake (USA).json
Computer - Disc || Action 52 Owns (USA) || Computer/Disc/A/Action 52 Owns (USA)/Action 52 Owns (USA).json
Computer - Disc || Adventures of Elena Temple, The (USA) || Computer/Disc/A/Adventures of Elena Temple, The (USA)/Adventures of Elena Temple, The (USA).json
Computer - Disc || Age of Empires Gold Edition (USA) || Computer/Disc/A/Age of Empires Gold Edition (USA)/Age of Empires Gold Edition (USA).json
Computer - Disc || Age of Empires II Gold Edition (USA) || Computer/Disc/A/Age of Empires II Gold Edition (USA)/Age of Empires II Gold Edition (USA).json
Computer - Disc || Aliens Versus Predator Gold (USA) || Computer/Disc/A/Aliens Versus Predator Gold (USA)/Aliens Versus Predator Gold (USA).json
Computer - Disc || Alone in the Dark - The New Nightmare (USA) || Computer/Disc/A/Alone in the Dark - The New Nightmare (USA)/Alone in the Dark - The New Nightmare (USA).json
Computer - Disc || Amnesia - The Dark Descent (USA) || Computer/Disc/A/Amnesia - The Dark Descent (USA)/Amnesia - The Dark Descent (USA).json
Computer - Disc || Ancients II - Approaching Evil (USA) || Computer/Disc/A/Ancients II - Approaching Evil (USA)/Ancients II - Approaching Evil (USA).json
Computer - Disc || Apotheon (USA) || Computer/Disc/A/Apotheon (USA)/Apotheon (USA).json
Computer - Disc || Armello (USA) || Computer/Disc/A/Armello (USA)/Armello (USA).json
Computer - Disc || Arx Fatalis (USA) || Computer/Disc/A/Arx Fatalis (USA)/Arx Fatalis (USA).json
Computer - Disc || Assault Android Cactus (USA) || Computer/Disc/A/Assault Android Cactus (USA)/Assault Android Cactus (USA).json
Computer - Disc || Atari - 80 Classic Games In One (USA) || Computer/Disc/A/Atari - 80 Classic Games In One (USA)/Atari - 80 Classic Games In One (USA).json
Computer - Disc || Atomic Bomberman (USA) || Computer/Disc/A/Atomic Bomberman (USA)/Atomic Bomberman (USA).json
Computer - Disc || Axiom Verge (USA) || Computer/Disc/A/Axiom Verge (USA)/Axiom Verge (USA).json
Computer - Disc || Bad Milk (USA) || Computer/Disc/B/Bad Milk (USA)/Bad Milk (USA).json
Computer - Disc || Barkley, Shut Up and Jam - Gaiden (USA) || Computer/Disc/B/Barkley, Shut Up and Jam - Gaiden (USA)/Barkley, Shut Up and Jam - Gaiden (USA).json
Computer - Disc || Basement Collection, The (USA) || Computer/Disc/B/Basement Collection, The (USA)/Basement Collection, The (USA).json
Computer - Disc || Battleship Surface Thunder (USA) || Computer/Disc/B/Battleship Surface Thunder (USA)/Battleship Surface Thunder (USA).json
Computer - Disc || Beast Within, The - A Gabriel Knight Mystery (USA) || Computer/Disc/B/Beast Within, The - A Gabriel Knight Mystery (USA)/Beast Within, The - A Gabriel Knight Mystery (USA).json
Computer - Disc || Black & White + Creature Isle (USA) || Computer/Disc/B/Black & White + Creature Isle (USA)/Black & White + Creature Isle (USA).json
Computer - Disc || Black & White 2 (USA) || Computer/Disc/B/Black & White 2 (USA)/Black & White 2 (USA).json
Computer - Disc || Blair Witch Volume 1 - Rustin Parr (USA) || Computer/Disc/B/Blair Witch Volume 1 - Rustin Parr (USA)/Blair Witch Volume 1 - Rustin Parr (USA).json
Computer - Disc || Blair Witch Volume 2 - The Legend of Coffin Rock (USA) || Computer/Disc/B/Blair Witch Volume 2 - The Legend of Coffin Rock (USA)/Blair Witch Volume 2 - The Legend of Coffin Rock (USA).json
Computer - Disc || Blair Witch Volume 3 - The Elly Kedward Tale (USA) || Computer/Disc/B/Blair Witch Volume 3 - The Elly Kedward Tale (USA)/Blair Witch Volume 3 - The Elly Kedward Tale (USA).json
Computer - Disc || Blood - Spill Some (USA) || Computer/Disc/B/Blood - Spill Some (USA)/Blood - Spill Some (USA).json
Computer - Disc || Braid & Welcome to Mysterious City - Vegas (USA) || Computer/Disc/B/Braid & Welcome to Mysterious City - Vegas (USA)/Braid & Welcome to Mysterious City - Vegas (USA).json
Computer - Disc || Brutal Doom - Hell on Earth Starter Pack (USA) || Computer/Disc/B/Brutal Doom - Hell on Earth Starter Pack (USA)/Brutal Doom - Hell on Earth Starter Pack (USA).json
Computer - Disc || Brutal Legend (USA) || Computer/Disc/B/Brutal Legend (USA)/Brutal Legend (USA).json
Computer - Disc || Call of Cthulhu - Dark Corners of the Earth (USA) || Computer/Disc/C/Call of Cthulhu - Dark Corners of the Earth (USA)/Call of Cthulhu - Dark Corners of the Earth (USA).json
Computer - Disc || Captain Forever Remix (USA) || Computer/Disc/C/Captain Forever Remix (USA)/Captain Forever Remix (USA).json
Computer - Disc || Carmen Sandiego - Word Detective (USA) || Computer/Disc/C/Carmen Sandiego - Word Detective (USA)/Carmen Sandiego - Word Detective (USA).json
Computer - Disc || Castle of the Winds I - A Question of Vengeance (USA) || Computer/Disc/C/Castle of the Winds I - A Question of Vengeance (USA)/Castle of the Winds I - A Question of Vengeance (USA).json
Computer - Disc || Castle of the Winds II - Lifthransir's Bane (USA) || Computer/Disc/C/Castle of the Winds II - Lifthransir's Bane (USA)/Castle of the Winds II - Lifthransir's Bane (USA).json
