Microsoft Xbox || Big Bumpin' (USA) || Microsoft/Microsoft Xbox/Big Bumpin' (USA)/Big Bumpin' (USA).json
Microsoft Xbox || Buffy the Vampire Slayer (USA) || Microsoft/Microsoft Xbox/Buffy the Vampire Slayer (USA)/Buffy the Vampire Slayer (USA).json
Microsoft Xbox || Crimson Sea (USA) || Microsoft/Microsoft Xbox/Crimson Sea (USA)/Crimson Sea (USA).json
Microsoft Xbox || Dino Crisis 3 (USA, Asia) || Microsoft/Microsoft Xbox/Dino Crisis 3 (USA, Asia)/Dino Crisis 3 (USA, Asia).json
Microsoft Xbox || Dungeons & Dragons - Heroes (USA) || Microsoft/Microsoft Xbox/Dungeons & Dragons - Heroes (USA)/Dungeons & Dragons - Heroes (USA).json
Microsoft Xbox || Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA) || Microsoft/Microsoft Xbox/Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA)/Elder Scrolls III, The - Morrowind - Game of the Year Edition (USA).json
Microsoft Xbox || Fable - The Lost Chapters (USA) (En,Es) || Microsoft/Microsoft Xbox/Fable - The Lost Chapters (USA) (En,Es)/Fable - The Lost Chapters (USA) (En,Es).json
Microsoft Xbox || Fuzion Frenzy (USA) || Microsoft/Microsoft Xbox/Fuzion Frenzy (USA)/Fuzion Frenzy (USA).json
Microsoft Xbox || Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It) || Microsoft/Microsoft Xbox/Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It)/Grabbed by the Ghoulies (USA) (En,Fr,De,Es,It).json
Microsoft Xbox || Jade Empire (USA, Europe) (En,Es,It) || Microsoft/Microsoft Xbox/Jade Empire (USA, Europe) (En,Es,It)/Jade Empire (USA, Europe) (En,Es,It).json
Microsoft Xbox || Mercenaries (USA, Europe) || Microsoft/Microsoft Xbox/Mercenaries (USA, Europe)/Mercenaries (USA, Europe).json
Microsoft Xbox || Night Caster - Defeat the Darkness (USA) || Microsoft/Microsoft Xbox/Night Caster - Defeat the Darkness (USA)/Night Caster - Defeat the Darkness (USA).json
Microsoft Xbox || Otogi - Myth of Demons (USA) || Microsoft/Microsoft Xbox/Otogi - Myth of Demons (USA)/Otogi - Myth of Demons (USA).json
Microsoft Xbox || Otogi 2 - Immortal Warriors (USA) || Microsoft/Microsoft Xbox/Otogi 2 - Immortal Warriors (USA)/Otogi 2 - Immortal Warriors (USA).json
Microsoft Xbox || Panzer Dragoon Orta (USA) || Microsoft/Microsoft Xbox/Panzer Dragoon Orta (USA)/Panzer Dragoon Orta (USA).json
Microsoft Xbox || PocketBike Racer (USA) || Microsoft/Microsoft Xbox/PocketBike Racer (USA)/PocketBike Racer (USA).json
Microsoft Xbox || Project Gotham Racing (USA) || Microsoft/Microsoft Xbox/Project Gotham Racing (USA)/Project Gotham Racing (USA).json
Microsoft Xbox || Psychonauts (USA) || Microsoft/Microsoft Xbox/Psychonauts (USA)/Psychonauts (USA).json
Microsoft Xbox || Raze's Hell (USA) || Microsoft/Microsoft Xbox/Raze's Hell (USA)/Raze's Hell (USA).json
Microsoft Xbox || Sneak King (USA) || Microsoft/Microsoft Xbox/Sneak King (USA)/Sneak King (USA).json
Microsoft Xbox || Soldier of Fortune II - Double Helix (USA) || Microsoft/Microsoft Xbox/Soldier of Fortune II - Double Helix (USA)/Soldier of Fortune II - Double Helix (USA).json
Microsoft Xbox || Star Wars - Knights of the Old Republic (USA) (v1.10) || Microsoft/Microsoft Xbox/Star Wars - Knights of the Old Republic (USA) (v1.10)/Star Wars - Knights of the Old Republic (USA) (v1.10).json
Microsoft Xbox || Star Wars - Knights of the Old Republic II - The Sith Lords (USA) || Microsoft/Microsoft Xbox/Star Wars - Knights of the Old Republic II - The Sith Lords (USA)/Star Wars - Knights of the Old Republic II - The Sith Lords (USA).json
Microsoft Xbox || Tecmo Classic Arcade (USA, Japan) || Microsoft/Microsoft Xbox/Tecmo Classic Arcade (USA, Japan)/Tecmo Classic Arcade (USA, Japan).json
Microsoft Xbox || Unreal Championship (USA, Europe) (En,Fr,De,Es,It) || Microsoft/Microsoft Xbox/Unreal Championship (USA, Europe) (En,Fr,De,Es,It)/Unreal Championship (USA, Europe) (En,Fr,De,Es,It).json
Microsoft Xbox || Unreal Championship 2 - The Liandri Conflict (USA, Europe) (En,Fr,De,Es,It) || Microsoft/Microsoft Xbox/Unreal Championship 2 - The Liandri Conflict (USA, Europe) (En,Fr,De,Es,It)/Unreal Championship 2 - The Liandri Conflict (USA, Europe) (En,Fr,De,Es,It).json
Microsoft Xbox || Xbox Exhibition (USA) || Microsoft/Microsoft Xbox/Xbox Exhibition (USA)/Xbox Exhibition (USA).json
