Nintendo Game Boy || Adventure Island (USA, Europe) || Nintendo/Nintendo Game Boy/Adventure Island (USA, Europe)/Adventure Island (USA, Europe).json
Nintendo Game Boy || Alleyway (World) || Nintendo/Nintendo Game Boy/Alleyway (World)/Alleyway (World).json
Nintendo Game Boy || Atchafalaya Arcade (USA) || Nintendo/Nintendo Game Boy/Atchafalaya Arcade (USA)/Atchafalaya Arcade (USA).json
Nintendo Game Boy || Avenging Spirit (USA, Europe) || Nintendo/Nintendo Game Boy/Avenging Spirit (USA, Europe)/Avenging Spirit (USA, Europe).json
Nintendo Game Boy || Balloon Kid (USA, Europe) || Nintendo/Nintendo Game Boy/Balloon Kid (USA, Europe)/Balloon Kid (USA, Europe).json
Nintendo Game Boy || Bionic Commando (USA) || Nintendo/Nintendo Game Boy/Bionic Commando (USA)/Bionic Commando (USA).json
Nintendo Game Boy || Bugs Bunny Crazy Castle, The (USA, Europe) || Nintendo/Nintendo Game Boy/Bugs Bunny Crazy Castle, The (USA, Europe)/Bugs Bunny Crazy Castle, The (USA, Europe).json
Nintendo Game Boy || Bunflower (USA) || Nintendo/Nintendo Game Boy/Bunflower (USA)/Bunflower (USA).json
Nintendo Game Boy || BurgerTime Deluxe (World) || Nintendo/Nintendo Game Boy/BurgerTime Deluxe (World)/BurgerTime Deluxe (World).json
Nintendo Game Boy || Castlevania - The Adventure (USA) (Castlevania Anniversary Collection) || Nintendo/Nintendo Game Boy/Castlevania - The Adventure (USA) (Castlevania Anniversary Collection)/Castlevania - The Adventure (USA) (Castlevania Anniversary Collection).json
Nintendo Game Boy || Castlevania II - Belmont's Revenge (USA, Europe) (Castlevania Anniversary Collection) || Nintendo/Nintendo Game Boy/Castlevania II - Belmont's Revenge (USA, Europe) (Castlevania Anniversary Collection)/Castlevania II - Belmont's Revenge (USA, Europe) (Castlevania Anniversary Collection).json
Nintendo Game Boy || Catrap (USA) || Nintendo/Nintendo Game Boy/Catrap (USA)/Catrap (USA).json
Nintendo Game Boy || Contra (World) (Contra Anniversary Collection) || Nintendo/Nintendo Game Boy/Contra (World) (Contra Anniversary Collection)/Contra (World) (Contra Anniversary Collection).json
Nintendo Game Boy || Double Dragon (USA, Europe) || Nintendo/Nintendo Game Boy/Double Dragon (USA, Europe)/Double Dragon (USA, Europe).json
Nintendo Game Boy || Dr. Mario (World) (Rev A) || Nintendo/Nintendo Game Boy/Dr. Mario (World) (Rev A)/Dr. Mario (World) (Rev A).json
Nintendo Game Boy || Dracula Densetsu (Japan) (Castlevania Anniversary Collection) || Nintendo/Nintendo Game Boy/Dracula Densetsu (Japan) (Castlevania Anniversary Collection)/Dracula Densetsu (Japan) (Castlevania Anniversary Collection).json
Nintendo Game Boy || Dracula Densetsu II (Japan) (Castlevania Anniversary Collection) || Nintendo/Nintendo Game Boy/Dracula Densetsu II (Japan) (Castlevania Anniversary Collection)/Dracula Densetsu II (Japan) (Castlevania Anniversary Collection).json
Nintendo Game Boy || DuckTales (USA) || Nintendo/Nintendo Game Boy/DuckTales (USA)/DuckTales (USA).json
Nintendo Game Boy || Final Fantasy Adventure (USA) || Nintendo/Nintendo Game Boy/Final Fantasy Adventure (USA)/Final Fantasy Adventure (USA).json
Nintendo Game Boy || Final Fantasy Legend II (USA) || Nintendo/Nintendo Game Boy/Final Fantasy Legend II (USA)/Final Fantasy Legend II (USA).json
Nintendo Game Boy || Final Fantasy Legend III (USA) || Nintendo/Nintendo Game Boy/Final Fantasy Legend III (USA)/Final Fantasy Legend III (USA).json
Nintendo Game Boy || Final Fantasy Legend, The (USA) || Nintendo/Nintendo Game Boy/Final Fantasy Legend, The (USA)/Final Fantasy Legend, The (USA).json
Nintendo Game Boy || Fortified Zone (USA, Europe) || Nintendo/Nintendo Game Boy/Fortified Zone (USA, Europe)/Fortified Zone (USA, Europe).json
Nintendo Game Boy || Gargoyle's Quest (USA, Europe) || Nintendo/Nintendo Game Boy/Gargoyle's Quest (USA, Europe)/Gargoyle's Quest (USA, Europe).json
Nintendo Game Boy || Kid Icarus - Of Myths and Monsters (USA, Europe) || Nintendo/Nintendo Game Boy/Kid Icarus - Of Myths and Monsters (USA, Europe)/Kid Icarus - Of Myths and Monsters (USA, Europe).json
Nintendo Game Boy || Kirby's Dream Land (USA, Europe) || Nintendo/Nintendo Game Boy/Kirby's Dream Land (USA, Europe)/Kirby's Dream Land (USA, Europe).json
Nintendo Game Boy || Kirby's Pinball Land (USA, Europe) || Nintendo/Nintendo Game Boy/Kirby's Pinball Land (USA, Europe)/Kirby's Pinball Land (USA, Europe).json
Nintendo Game Boy || Lock n' Chase ~ Lock 'n' Chase (World) || Nintendo/Nintendo Game Boy/Lock n' Chase ~ Lock 'n' Chase (World)/Lock n' Chase ~ Lock 'n' Chase (World).json
Nintendo Game Boy || Maru's Mission (USA) || Nintendo/Nintendo Game Boy/Maru's Mission (USA)/Maru's Mission (USA).json
Nintendo Game Boy || Mega Man - Dr. Wily's Revenge (USA) || Nintendo/Nintendo Game Boy/Mega Man - Dr. Wily's Revenge (USA)/Mega Man - Dr. Wily's Revenge (USA).json
Nintendo Game Boy || Mega Man II (USA) || Nintendo/Nintendo Game Boy/Mega Man II (USA)/Mega Man II (USA).json
Nintendo Game Boy || Mega Man III (USA) || Nintendo/Nintendo Game Boy/Mega Man III (USA)/Mega Man III (USA).json
Nintendo Game Boy || Mega Man IV (USA) || Nintendo/Nintendo Game Boy/Mega Man IV (USA)/Mega Man IV (USA).json
Nintendo Game Boy || Metroid II - Return of Samus (World) || Nintendo/Nintendo Game Boy/Metroid II - Return of Samus (World)/Metroid II - Return of Samus (World).json
Nintendo Game Boy || Operation C (USA) || Nintendo/Nintendo Game Boy/Operation C (USA)/Operation C (USA).json
Nintendo Game Boy || Operation C (World) (Contra Anniversary Collection) || Nintendo/Nintendo Game Boy/Operation C (World) (Contra Anniversary Collection)/Operation C (World) (Contra Anniversary Collection).json
Nintendo Game Boy || Pinball - Revenge of the 'Gator (USA, Europe) || Nintendo/Nintendo Game Boy/Pinball - Revenge of the 'Gator (USA, Europe)/Pinball - Revenge of the 'Gator (USA, Europe).json
Nintendo Game Boy || Probotector (World) (Contra Anniversary Collection) || Nintendo/Nintendo Game Boy/Probotector (World) (Contra Anniversary Collection)/Probotector (World) (Contra Anniversary Collection).json
Nintendo Game Boy || QIX (World) || Nintendo/Nintendo Game Boy/QIX (World)/QIX (World).json
Nintendo Game Boy || Quarth (USA, Europe) || Nintendo/Nintendo Game Boy/Quarth (USA, Europe)/Quarth (USA, Europe).json
Nintendo Game Boy || Radar Mission (USA, Europe) || Nintendo/Nintendo Game Boy/Radar Mission (USA, Europe)/Radar Mission (USA, Europe).json
Nintendo Game Boy || Side Pocket (World) || Nintendo/Nintendo Game Boy/Side Pocket (World)/Side Pocket (World).json
Nintendo Game Boy || Super Mario Land (World) || Nintendo/Nintendo Game Boy/Super Mario Land (World)/Super Mario Land (World).json
Nintendo Game Boy || Super Mario Land 2 - 6 Golden Coins (USA, Europe) || Nintendo/Nintendo Game Boy/Super Mario Land 2 - 6 Golden Coins (USA, Europe)/Super Mario Land 2 - 6 Golden Coins (USA, Europe).json
Nintendo Game Boy || Sword of Hope II, The (USA) || Nintendo/Nintendo Game Boy/Sword of Hope II, The (USA)/Sword of Hope II, The (USA).json
Nintendo Game Boy || Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA) || Nintendo/Nintendo Game Boy/Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA)/Teenage Mutant Ninja Turtles - Fall of the Foot Clan (USA).json
