Nintendo Gamecube || 007 - Agent Under Fire (USA) || Nintendo/Nintendo Gamecube/007 - Agent Under Fire (USA)/007 - Agent Under Fire (USA).json
Nintendo Gamecube || Chibi-Robo! Plug into Adventure! (USA) || Nintendo/Nintendo Gamecube/Chibi-Robo! Plug into Adventure! (USA)/Chibi-Robo! Plug into Adventure! (USA).json
Nintendo Gamecube || Darkened Skye (USA) || Nintendo/Nintendo Gamecube/Darkened Skye (USA)/Darkened Skye (USA).json
Nintendo Gamecube || Donkey Kong Jungle Beat (USA) || Nintendo/Nintendo Gamecube/Donkey Kong Jungle Beat (USA)/Donkey Kong Jungle Beat (USA).json
Nintendo Gamecube || Eternal Darkness - Sanity's Requiem (USA) || Nintendo/Nintendo Gamecube/Eternal Darkness - Sanity's Requiem (USA)/Eternal Darkness - Sanity's Requiem (USA).json
Nintendo Gamecube || Final Fantasy - Crystal Chronicles (USA) || Nintendo/Nintendo Gamecube/Final Fantasy - Crystal Chronicles (USA)/Final Fantasy - Crystal Chronicles (USA).json
Nintendo Gamecube || Geist (USA) || Nintendo/Nintendo Gamecube/Geist (USA)/Geist (USA).json
Nintendo Gamecube || Legend of Zelda, The - Collector's Edition (USA) || Nintendo/Nintendo Gamecube/Legend of Zelda, The - Collector's Edition (USA)/Legend of Zelda, The - Collector's Edition (USA).json
Nintendo Gamecube || Legend of Zelda, The - Four Swords Adventures (USA) || Nintendo/Nintendo Gamecube/Legend of Zelda, The - Four Swords Adventures (USA)/Legend of Zelda, The - Four Swords Adventures (USA).json
Nintendo Gamecube || Legend of Zelda, The - Ocarina of Time & Master Quest (USA) || Nintendo/Nintendo Gamecube/Legend of Zelda, The - Ocarina of Time & Master Quest (USA)/Legend of Zelda, The - Ocarina of Time & Master Quest (USA).json
Nintendo Gamecube || Legend of Zelda, The - The Wind Waker (USA) || Nintendo/Nintendo Gamecube/Legend of Zelda, The - The Wind Waker (USA)/Legend of Zelda, The - The Wind Waker (USA).json
Nintendo Gamecube || Legend of Zelda, The - Twilight Princess (USA) || Nintendo/Nintendo Gamecube/Legend of Zelda, The - Twilight Princess (USA)/Legend of Zelda, The - Twilight Princess (USA).json
Nintendo Gamecube || Mega Man - Network Transmission (USA) || Nintendo/Nintendo Gamecube/Mega Man - Network Transmission (USA)/Mega Man - Network Transmission (USA).json
Nintendo Gamecube || P.N. 03 (USA) || Nintendo/Nintendo Gamecube/P.N. 03 (USA)/P.N. 03 (USA).json
Nintendo Gamecube || Pac-Man Vs. (USA) || Nintendo/Nintendo Gamecube/Pac-Man Vs. (USA)/Pac-Man Vs. (USA).json
Nintendo Gamecube || Paper Mario - The Thousand-Year Door (USA) || Nintendo/Nintendo Gamecube/Paper Mario - The Thousand-Year Door (USA)/Paper Mario - The Thousand-Year Door (USA).json
