Apple iOS || 7th Guest, The (USA) || Other/Apple iOS/7th Guest, The (USA)/7th Guest, The (USA).json
Apple iOS || After Burner Climax (USA) || Other/Apple iOS/After Burner Climax (USA)/After Burner Climax (USA).json
Apple iOS || Autumn Dynasty - RTS (USA) || Other/Apple iOS/Autumn Dynasty - RTS (USA)/Autumn Dynasty - RTS (USA).json
Apple iOS || Badland (USA) || Other/Apple iOS/Badland (USA)/Badland (USA).json
Apple iOS || Cthulhu Saves the World (USA) || Other/Apple iOS/Cthulhu Saves the World (USA)/Cthulhu Saves the World (USA).json
Apple iOS || Dead Space (USA) || Other/Apple iOS/Dead Space (USA)/Dead Space (USA).json
Apple iOS || Dead Space for iPad (USA) || Other/Apple iOS/Dead Space for iPad (USA)/Dead Space for iPad (USA).json
Apple iOS || Dead Trigger - Survival Shooter (USA) || Other/Apple iOS/Dead Trigger - Survival Shooter (USA)/Dead Trigger - Survival Shooter (USA).json
Apple iOS || Doom II RPG (USA) || Other/Apple iOS/Doom II RPG (USA)/Doom II RPG (USA).json
Apple iOS || Drowning, The (USA) || Other/Apple iOS/Drowning, The (USA)/Drowning, The (USA).json
Apple iOS || Fail Hard (USA) || Other/Apple iOS/Fail Hard (USA)/Fail Hard (USA).json
Apple iOS || Final Fantasy - All The Bravest (USA) || Other/Apple iOS/Final Fantasy - All The Bravest (USA)/Final Fantasy - All The Bravest (USA).json
Apple iOS || Final Fantasy - Dimensions (USA) || Other/Apple iOS/Final Fantasy - Dimensions (USA)/Final Fantasy - Dimensions (USA).json
Apple iOS || Forever Lost - Episode 1 HD (USA) || Other/Apple iOS/Forever Lost - Episode 1 HD (USA)/Forever Lost - Episode 1 HD (USA).json
Apple iOS || Forever Lost - Episode 2 HD (USA) || Other/Apple iOS/Forever Lost - Episode 2 HD (USA)/Forever Lost - Episode 2 HD (USA).json
Apple iOS || Forever Lost - Episode 3 HD (USA) || Other/Apple iOS/Forever Lost - Episode 3 HD (USA)/Forever Lost - Episode 3 HD (USA).json
Apple iOS || Framed (USA) || Other/Apple iOS/Framed (USA)/Framed (USA).json
Apple iOS || Gesundheit! HD (USA) || Other/Apple iOS/Gesundheit! HD (USA)/Gesundheit! HD (USA).json
Apple iOS || Haunted Rooms - Escape VR Game for Google Cardboard (USA) || Other/Apple iOS/Haunted Rooms - Escape VR Game for Google Cardboard (USA)/Haunted Rooms - Escape VR Game for Google Cardboard (USA).json
