Arcade || 1941 - Counter Attack (World) (1941) || Other/Arcade/1941 - Counter Attack (World) (1941)/1941 - Counter Attack (World) (1941).json
Arcade || 1942 (World) (1942) || Other/Arcade/1942 (World) (1942)/1942 (World) (1942).json
Arcade || 1943 - The Battle of Midway (Europe) (1943) || Other/Arcade/1943 - The Battle of Midway (Europe) (1943)/1943 - The Battle of Midway (Europe) (1943).json
Arcade || 1943 Kai - Midway Kaisen (Japan) (1943kai) || Other/Arcade/1943 Kai - Midway Kaisen (Japan) (1943kai)/1943 Kai - Midway Kaisen (Japan) (1943kai).json
Arcade || 1944 - The Loop Master (Europe) (1944) || Other/Arcade/1944 - The Loop Master (Europe) (1944)/1944 - The Loop Master (Europe) (1944).json
Arcade || 19XX - The War Against Destiny (Europe) (19xx) || Other/Arcade/19XX - The War Against Destiny (Europe) (19xx)/19XX - The War Against Destiny (Europe) (19xx).json
Arcade || 720 Degrees (World) (720) || Other/Arcade/720 Degrees (World) (720)/720 Degrees (World) (720).json
Arcade || APB - All Points Bulletin (World) (apb) || Other/Arcade/APB - All Points Bulletin (World) (apb)/APB - All Points Bulletin (World) (apb).json
Arcade || Akka Arrh (World) (Proto) (akkaarrh) || Other/Arcade/Akka Arrh (World) (Proto) (akkaarrh)/Akka Arrh (World) (Proto) (akkaarrh).json
Arcade || Alien Syndrome (World) (aliensyn) || Other/Arcade/Alien Syndrome (World) (aliensyn)/Alien Syndrome (World) (aliensyn).json
Arcade || Alpha Mission (World) (alphamis) || Other/Arcade/Alpha Mission (World) (alphamis)/Alpha Mission (World) (alphamis).json
Arcade || Altered Beast (World) (altbeast) || Other/Arcade/Altered Beast (World) (altbeast)/Altered Beast (World) (altbeast).json
Arcade || Arch Rivals (World) (archrivl) || Other/Arcade/Arch Rivals (World) (archrivl)/Arch Rivals (World) (archrivl).json
Arcade || Armored Warriors (Europe) (armwar) || Other/Arcade/Armored Warriors (Europe) (armwar)/Armored Warriors (Europe) (armwar).json
Arcade || Art of Fighting (World) (aof) || Other/Arcade/Art of Fighting (World) (aof)/Art of Fighting (World) (aof).json
Arcade || Asteroids (World) (asteroid) || Other/Arcade/Asteroids (World) (asteroid)/Asteroids (World) (asteroid).json
Arcade || Asteroids Deluxe (World) (astdelux) || Other/Arcade/Asteroids Deluxe (World) (astdelux)/Asteroids Deluxe (World) (astdelux).json
Arcade || Atari Baseball (World) (abaseb) || Other/Arcade/Atari Baseball (World) (abaseb)/Atari Baseball (World) (abaseb).json
Arcade || Atari Basketball (World) (bsktball) || Other/Arcade/Atari Basketball (World) (bsktball)/Atari Basketball (World) (bsktball).json
Arcade || Atari Football (World) (atarifb) || Other/Arcade/Atari Football (World) (atarifb)/Atari Football (World) (atarifb).json
Arcade || Atari Soccer (World) (soccer) || Other/Arcade/Atari Soccer (World) (soccer)/Atari Soccer (World) (soccer).json
Arcade || Athena (World) (athena) || Other/Arcade/Athena (World) (athena)/Athena (World) (athena).json
Arcade || Avalanche (World) (avalnche) || Other/Arcade/Avalanche (World) (avalnche)/Avalanche (World) (avalnche).json
Arcade || Avengers (USA) (avengers) || Other/Arcade/Avengers (USA) (avengers)/Avengers (USA) (avengers).json
Arcade || Baseball Stars 2 (World) (bstars2) || Other/Arcade/Baseball Stars 2 (World) (bstars2)/Baseball Stars 2 (World) (bstars2).json
Arcade || Battle Circuit (Europe) (batcir) || Other/Arcade/Battle Circuit (Europe) (batcir)/Battle Circuit (Europe) (batcir).json
Arcade || Battle Zone (World) (bzone) || Other/Arcade/Battle Zone (World) (bzone)/Battle Zone (World) (bzone).json
Arcade || Battletoads (World) (btoads) || Other/Arcade/Battletoads (World) (btoads)/Battletoads (World) (btoads).json
Arcade || Beast Busters (World) (bbusters) || Other/Arcade/Beast Busters (World) (bbusters)/Beast Busters (World) (bbusters).json
Arcade || Bermuda Triangle (World) (bermudat) || Other/Arcade/Bermuda Triangle (World) (bermudat)/Bermuda Triangle (World) (bermudat).json
Arcade || Bionic Commando (Europe) (bionicc) || Other/Arcade/Bionic Commando (Europe) (bionicc)/Bionic Commando (Europe) (bionicc).json
