Atari Jaguar || Alien vs Predator (World) || Other/Atari Jaguar/Alien vs Predator (World)/Alien vs Predator (World).json
Atari Jaguar || Atari Karts (World) || Other/Atari Jaguar/Atari Karts (World)/Atari Karts (World).json
Atari Jaguar || Checkered Flag (World) || Other/Atari Jaguar/Checkered Flag (World)/Checkered Flag (World).json
Atari Jaguar || Club Drive (World) || Other/Atari Jaguar/Club Drive (World)/Club Drive (World).json
Atari Jaguar || Cybermorph (World) (Rev A) || Other/Atari Jaguar/Cybermorph (World) (Rev A)/Cybermorph (World) (Rev A).json
Atari Jaguar || Cybermorph (World) (Rev B) || Other/Atari Jaguar/Cybermorph (World) (Rev B)/Cybermorph (World) (Rev B).json
Atari Jaguar || Doom (World) || Other/Atari Jaguar/Doom (World)/Doom (World).json
Atari Jaguar || Evolution - Dino Dudes (World) || Other/Atari Jaguar/Evolution - Dino Dudes (World)/Evolution - Dino Dudes (World).json
Atari Jaguar || Fight for Life (USA, Europe) || Other/Atari Jaguar/Fight for Life (USA, Europe)/Fight for Life (USA, Europe).json
Atari Jaguar || Flip Out! (World) || Other/Atari Jaguar/Flip Out! (World)/Flip Out! (World).json
Atari Jaguar || Iron Soldier (World) (v1.04) || Other/Atari Jaguar/Iron Soldier (World) (v1.04)/Iron Soldier (World) (v1.04).json
Atari Jaguar || Kasumi Ninja (World) || Other/Atari Jaguar/Kasumi Ninja (World)/Kasumi Ninja (World).json
Atari Jaguar || Missile Command 3D (World) || Other/Atari Jaguar/Missile Command 3D (World)/Missile Command 3D (World).json
Atari Jaguar || Ruiner Pinball (USA, Europe) || Other/Atari Jaguar/Ruiner Pinball (USA, Europe)/Ruiner Pinball (USA, Europe).json
Atari Jaguar || Tempest 2000 (World) || Other/Atari Jaguar/Tempest 2000 (World)/Tempest 2000 (World).json
Atari Jaguar || Theme Park (World) || Other/Atari Jaguar/Theme Park (World)/Theme Park (World).json
Atari Jaguar || Towers II (World) || Other/Atari Jaguar/Towers II (World)/Towers II (World).json
Atari Jaguar || Trevor McFur in the Crescent Galaxy (World) (Rev A) || Other/Atari Jaguar/Trevor McFur in the Crescent Galaxy (World) (Rev A)/Trevor McFur in the Crescent Galaxy (World) (Rev A).json
Atari Jaguar || Zool 2 (World) || Other/Atari Jaguar/Zool 2 (World)/Zool 2 (World).json
