Commodore 64 || Alleykat (Europe) || Other/Commodore 64/Alleykat (Europe)/Alleykat (Europe).json
Commodore 64 || Anarchy (Europe) || Other/Commodore 64/Anarchy (Europe)/Anarchy (Europe).json
Commodore 64 || Arc of Yesod, The (USA) || Other/Commodore 64/Arc of Yesod, The (USA)/Arc of Yesod, The (USA).json
Commodore 64 || Avenger (USA, Europe) || Other/Commodore 64/Avenger (USA, Europe)/Avenger (USA, Europe).json
Commodore 64 || Barnsley Badger (Europe) || Other/Commodore 64/Barnsley Badger (Europe)/Barnsley Badger (Europe).json
Commodore 64 || Battle Valley (Europe) || Other/Commodore 64/Battle Valley (Europe)/Battle Valley (Europe).json
Commodore 64 || Boulder Dash (USA, Europe) || Other/Commodore 64/Boulder Dash (USA, Europe)/Boulder Dash (USA, Europe).json
Commodore 64 || Break Dance (Europe) || Other/Commodore 64/Break Dance (Europe)/Break Dance (Europe).json
Commodore 64 || Chip's Challenge (USA, Europe) || Other/Commodore 64/Chip's Challenge (USA, Europe)/Chip's Challenge (USA, Europe).json
Commodore 64 || Coil Cop (USA) || Other/Commodore 64/Coil Cop (USA)/Coil Cop (USA).json
Commodore 64 || Confuzion (Europe) || Other/Commodore 64/Confuzion (Europe)/Confuzion (Europe).json
Commodore 64 || Cosmic Causeway - Trailblazer II (Europe) || Other/Commodore 64/Cosmic Causeway - Trailblazer II (Europe)/Cosmic Causeway - Trailblazer II (Europe).json
Commodore 64 || Cyberdyne Warrior (Europe) || Other/Commodore 64/Cyberdyne Warrior (Europe)/Cyberdyne Warrior (Europe).json
Commodore 64 || Cybernoid - The Fighting Machine (USA, Europe) || Other/Commodore 64/Cybernoid - The Fighting Machine (USA, Europe)/Cybernoid - The Fighting Machine (USA, Europe).json
Commodore 64 || Cybernoid II (Europe) || Other/Commodore 64/Cybernoid II (Europe)/Cybernoid II (Europe).json
Commodore 64 || Deflektor (Europe) || Other/Commodore 64/Deflektor (Europe)/Deflektor (Europe).json
Commodore 64 || Destroyer (USA, Europe) || Other/Commodore 64/Destroyer (USA, Europe)/Destroyer (USA, Europe).json
Commodore 64 || Epyx Games Collection (USA, Europe) (Multicart) || Other/Commodore 64/Epyx Games Collection (USA, Europe) (Multicart)/Epyx Games Collection (USA, Europe) (Multicart).json
Commodore 64 || Epyx Games Collection (USA, Europe) (Multicart) (EasyFlash) || Other/Commodore 64/Epyx Games Collection (USA, Europe) (Multicart) (EasyFlash)/Epyx Games Collection (USA, Europe) (Multicart) (EasyFlash).json
Commodore 64 || Everyone's a Wally (USA, Europe) || Other/Commodore 64/Everyone's a Wally (USA, Europe)/Everyone's a Wally (USA, Europe).json
Commodore 64 || Farming Simulator (USA, Europe) || Other/Commodore 64/Farming Simulator (USA, Europe)/Farming Simulator (USA, Europe).json
Commodore 64 || Firelord (Europe) || Other/Commodore 64/Firelord (Europe)/Firelord (Europe).json
Commodore 64 || Galencia Mini (Europe) || Other/Commodore 64/Galencia Mini (Europe)/Galencia Mini (Europe).json
Commodore 64 || Gateway to Apshai (USA, Europe) || Other/Commodore 64/Gateway to Apshai (USA, Europe)/Gateway to Apshai (USA, Europe).json
Commodore 64 || Gribbly's Day Out (USA, Europe) || Other/Commodore 64/Gribbly's Day Out (USA, Europe)/Gribbly's Day Out (USA, Europe).json
Commodore 64 || Heartland (Europe) || Other/Commodore 64/Heartland (Europe)/Heartland (Europe).json
Commodore 64 || Herobotix (Europe) || Other/Commodore 64/Herobotix (Europe)/Herobotix (Europe).json
