Mattel Intellivision || ABPA Backgammon ~ Backgammon (World) || Other/Mattel Intellivision/ABPA Backgammon ~ Backgammon (World)/ABPA Backgammon ~ Backgammon (World).json
Mattel Intellivision || Advanced Dungeons & Dragons - Cloudy Mountain (World) || Other/Mattel Intellivision/Advanced Dungeons & Dragons - Cloudy Mountain (World)/Advanced Dungeons & Dragons - Cloudy Mountain (World).json
Mattel Intellivision || Armor Battle (USA, Europe) || Other/Mattel Intellivision/Armor Battle (USA, Europe)/Armor Battle (USA, Europe).json
Mattel Intellivision || Astrosmash (USA, Europe) || Other/Mattel Intellivision/Astrosmash (USA, Europe)/Astrosmash (USA, Europe).json
Mattel Intellivision || Auto Racing (World) || Other/Mattel Intellivision/Auto Racing (World)/Auto Racing (World).json
Mattel Intellivision || B-17 Bomber (USA, Europe) || Other/Mattel Intellivision/B-17 Bomber (USA, Europe)/B-17 Bomber (USA, Europe).json
Mattel Intellivision || Body Slam! Super Pro Wrestling (USA) || Other/Mattel Intellivision/Body Slam! Super Pro Wrestling (USA)/Body Slam! Super Pro Wrestling (USA).json
Mattel Intellivision || Bomb Squad (USA, Europe) || Other/Mattel Intellivision/Bomb Squad (USA, Europe)/Bomb Squad (USA, Europe).json
Mattel Intellivision || Boxing (World) || Other/Mattel Intellivision/Boxing (World)/Boxing (World).json
Mattel Intellivision || Brickout! (World) || Other/Mattel Intellivision/Brickout! (World)/Brickout! (World).json
Mattel Intellivision || Buzz Bombers (USA, Europe) || Other/Mattel Intellivision/Buzz Bombers (USA, Europe)/Buzz Bombers (USA, Europe).json
Mattel Intellivision || Checkers ~ Draughts (USA, Europe) || Other/Mattel Intellivision/Checkers ~ Draughts (USA, Europe)/Checkers ~ Draughts (USA, Europe).json
Mattel Intellivision || Chip Shot - Super Pro Golf (USA) || Other/Mattel Intellivision/Chip Shot - Super Pro Golf (USA)/Chip Shot - Super Pro Golf (USA).json
Mattel Intellivision || Deep Pockets - Super Pro Pool and Billiards (World) || Other/Mattel Intellivision/Deep Pockets - Super Pro Pool and Billiards (World)/Deep Pockets - Super Pro Pool and Billiards (World).json
Mattel Intellivision || Demo Cartridge (World) || Other/Mattel Intellivision/Demo Cartridge (World)/Demo Cartridge (World).json
Mattel Intellivision || Electric Company, The - Math Fun (USA, Europe) || Other/Mattel Intellivision/Electric Company, The - Math Fun (USA, Europe)/Electric Company, The - Math Fun (USA, Europe).json
Mattel Intellivision || Electric Company, The - Word Fun (USA, Europe) || Other/Mattel Intellivision/Electric Company, The - Word Fun (USA, Europe)/Electric Company, The - Word Fun (USA, Europe).json
Mattel Intellivision || Frog Bog (World) || Other/Mattel Intellivision/Frog Bog (World)/Frog Bog (World).json
Mattel Intellivision || Hard Hat (World) || Other/Mattel Intellivision/Hard Hat (World)/Hard Hat (World).json
Mattel Intellivision || Horse Racing (World) || Other/Mattel Intellivision/Horse Racing (World)/Horse Racing (World).json
Mattel Intellivision || Hover Force (USA) || Other/Mattel Intellivision/Hover Force (USA)/Hover Force (USA).json
Mattel Intellivision || Hypnotic Lights (World) || Other/Mattel Intellivision/Hypnotic Lights (World)/Hypnotic Lights (World).json
Mattel Intellivision || King of the Mountain (USA) (Proto) || Other/Mattel Intellivision/King of the Mountain (USA) (Proto)/King of the Mountain (USA) (Proto).json
Mattel Intellivision || Land Battle (USA) (Proto) || Other/Mattel Intellivision/Land Battle (USA) (Proto)/Land Battle (USA) (Proto).json
Mattel Intellivision || Las Vegas Poker & Blackjack ~ Blackjack & Poker (World) || Other/Mattel Intellivision/Las Vegas Poker & Blackjack ~ Blackjack & Poker (World)/Las Vegas Poker & Blackjack ~ Blackjack & Poker (World).json
Mattel Intellivision || Las Vegas Roulette (World) || Other/Mattel Intellivision/Las Vegas Roulette (World)/Las Vegas Roulette (World).json
Mattel Intellivision || Learning Fun I - Math Master, Factor Fun (USA) || Other/Mattel Intellivision/Learning Fun I - Math Master, Factor Fun (USA)/Learning Fun I - Math Master, Factor Fun (USA).json
Mattel Intellivision || Learning Fun II - Word Wizard, Memory Fun (USA) || Other/Mattel Intellivision/Learning Fun II - Word Wizard, Memory Fun (USA)/Learning Fun II - Word Wizard, Memory Fun (USA).json
Mattel Intellivision || Magic Carousel (USA) (Proto) || Other/Mattel Intellivision/Magic Carousel (USA) (Proto)/Magic Carousel (USA) (Proto).json
Mattel Intellivision || Major League Baseball ~ Big League Baseball ~ Baseball (World) || Other/Mattel Intellivision/Major League Baseball ~ Big League Baseball ~ Baseball (World)/Major League Baseball ~ Big League Baseball ~ Baseball (World).json
Mattel Intellivision || Mind Strike (USA, Europe) || Other/Mattel Intellivision/Mind Strike (USA, Europe)/Mind Strike (USA, Europe).json
Mattel Intellivision || Motocross (USA) || Other/Mattel Intellivision/Motocross (USA)/Motocross (USA).json
Mattel Intellivision || Mountain Madness - Super Pro Skiing (USA) || Other/Mattel Intellivision/Mountain Madness - Super Pro Skiing (USA)/Mountain Madness - Super Pro Skiing (USA).json
Mattel Intellivision || NASL Soccer ~ Soccer (World) || Other/Mattel Intellivision/NASL Soccer ~ Soccer (World)/NASL Soccer ~ Soccer (World).json
Mattel Intellivision || NBA Basketball ~ Basketball (USA, Europe) || Other/Mattel Intellivision/NBA Basketball ~ Basketball (USA, Europe)/NBA Basketball ~ Basketball (USA, Europe).json
Mattel Intellivision || NFL Football ~ Football (World) || Other/Mattel Intellivision/NFL Football ~ Football (World)/NFL Football ~ Football (World).json
Mattel Intellivision || NHL Hockey ~ Hockey (World) || Other/Mattel Intellivision/NHL Hockey ~ Hockey (World)/NHL Hockey ~ Hockey (World).json
Mattel Intellivision || Night Stalker (World) || Other/Mattel Intellivision/Night Stalker (World)/Night Stalker (World).json
Mattel Intellivision || Number Jumble (USA) (Proto) || Other/Mattel Intellivision/Number Jumble (USA) (Proto)/Number Jumble (USA) (Proto).json
Mattel Intellivision || PBA Bowling ~ Bowling (World) || Other/Mattel Intellivision/PBA Bowling ~ Bowling (World)/PBA Bowling ~ Bowling (World).json
Mattel Intellivision || PGA Golf ~ Golf (World) || Other/Mattel Intellivision/PGA Golf ~ Golf (World)/PGA Golf ~ Golf (World).json
Mattel Intellivision || Party Line - Space Cadet (USA) (Proto) || Other/Mattel Intellivision/Party Line - Space Cadet (USA) (Proto)/Party Line - Space Cadet (USA) (Proto).json
Mattel Intellivision || Pinball (USA) || Other/Mattel Intellivision/Pinball (USA)/Pinball (USA).json
Mattel Intellivision || Reversi (USA, Europe) || Other/Mattel Intellivision/Reversi (USA, Europe)/Reversi (USA, Europe).json
Mattel Intellivision || Royal Dealer (USA, Europe) || Other/Mattel Intellivision/Royal Dealer (USA, Europe)/Royal Dealer (USA, Europe).json
Mattel Intellivision || SNAFU (World) || Other/Mattel Intellivision/SNAFU (World)/SNAFU (World).json
Mattel Intellivision || Sea Battle (World) || Other/Mattel Intellivision/Sea Battle (World)/Sea Battle (World).json
Mattel Intellivision || Shark! Shark! (USA, Europe) || Other/Mattel Intellivision/Shark! Shark! (USA, Europe)/Shark! Shark! (USA, Europe).json
Mattel Intellivision || Sharp Shot (USA, Europe) || Other/Mattel Intellivision/Sharp Shot (USA, Europe)/Sharp Shot (USA, Europe).json
Mattel Intellivision || Slam Dunk - Super Pro Basketball (USA) || Other/Mattel Intellivision/Slam Dunk - Super Pro Basketball (USA)/Slam Dunk - Super Pro Basketball (USA).json
Mattel Intellivision || Slap Shot - Super Pro Hockey (USA) || Other/Mattel Intellivision/Slap Shot - Super Pro Hockey (USA)/Slap Shot - Super Pro Hockey (USA).json
Mattel Intellivision || Space Armada (World) || Other/Mattel Intellivision/Space Armada (World)/Space Armada (World).json
Mattel Intellivision || Space Battle (World) || Other/Mattel Intellivision/Space Battle (World)/Space Battle (World).json
Mattel Intellivision || Space Hawk (USA, Europe) || Other/Mattel Intellivision/Space Hawk (USA, Europe)/Space Hawk (USA, Europe).json
Mattel Intellivision || Space Spartans (USA, Europe) || Other/Mattel Intellivision/Space Spartans (USA, Europe)/Space Spartans (USA, Europe).json
Mattel Intellivision || Spiker - Super Pro Volleyball (USA) || Other/Mattel Intellivision/Spiker - Super Pro Volleyball (USA)/Spiker - Super Pro Volleyball (USA).json
Mattel Intellivision || Stadium Mud Buggies (USA) || Other/Mattel Intellivision/Stadium Mud Buggies (USA)/Stadium Mud Buggies (USA).json
Mattel Intellivision || Star Strike (World) || Other/Mattel Intellivision/Star Strike (World)/Star Strike (World).json
Mattel Intellivision || Sub Hunt (USA, Europe) || Other/Mattel Intellivision/Sub Hunt (USA, Europe)/Sub Hunt (USA, Europe).json
Mattel Intellivision || Super Pro Decathlon (USA) || Other/Mattel Intellivision/Super Pro Decathlon (USA)/Super Pro Decathlon (USA).json
Mattel Intellivision || Super Pro Football (USA) || Other/Mattel Intellivision/Super Pro Football (USA)/Super Pro Football (USA).json
Mattel Intellivision || Super Soccer (USA) (Proto) || Other/Mattel Intellivision/Super Soccer (USA) (Proto)/Super Soccer (USA) (Proto).json
Mattel Intellivision || Takeover (USA) (Proto) || Other/Mattel Intellivision/Takeover (USA) (Proto)/Takeover (USA) (Proto).json
Mattel Intellivision || Tennis (World) || Other/Mattel Intellivision/Tennis (World)/Tennis (World).json
Mattel Intellivision || Thin Ice (USA) (Beta) || Other/Mattel Intellivision/Thin Ice (USA) (Beta)/Thin Ice (USA) (Beta).json
Mattel Intellivision || Thunder Castle (USA) || Other/Mattel Intellivision/Thunder Castle (USA)/Thunder Castle (USA).json
Mattel Intellivision || Tower of Doom (USA) || Other/Mattel Intellivision/Tower of Doom (USA)/Tower of Doom (USA).json
Mattel Intellivision || Triple Action (World) || Other/Mattel Intellivision/Triple Action (World)/Triple Action (World).json
Mattel Intellivision || US Ski Team Skiing ~ Skiing (World) || Other/Mattel Intellivision/US Ski Team Skiing ~ Skiing (World)/US Ski Team Skiing ~ Skiing (World).json
Mattel Intellivision || USCF Chess ~ Chess (USA, Europe) || Other/Mattel Intellivision/USCF Chess ~ Chess (USA, Europe)/USCF Chess ~ Chess (USA, Europe).json
Mattel Intellivision || Utopia (USA, Europe) || Other/Mattel Intellivision/Utopia (USA, Europe)/Utopia (USA, Europe).json
Mattel Intellivision || Vectron (USA, Europe) || Other/Mattel Intellivision/Vectron (USA, Europe)/Vectron (USA, Europe).json
Mattel Intellivision || World Championship Baseball (USA) || Other/Mattel Intellivision/World Championship Baseball (USA)/World Championship Baseball (USA).json
Mattel Intellivision || World Series Major League Baseball (USA) || Other/Mattel Intellivision/World Series Major League Baseball (USA)/World Series Major League Baseball (USA).json
