Sega CD || Bram Stoker's Dracula (USA) || Other/Sega CD/Bram Stoker's Dracula (USA)/Bram Stoker's Dracula (USA).json
Sega CD || Cliffhanger (USA) || Other/Sega CD/Cliffhanger (USA)/Cliffhanger (USA).json
Sega CD || Dungeon Explorer (USA) || Other/Sega CD/Dungeon Explorer (USA)/Dungeon Explorer (USA).json
Sega CD || Dungeon Master II - Skullkeep (USA) || Other/Sega CD/Dungeon Master II - Skullkeep (USA)/Dungeon Master II - Skullkeep (USA).json
Sega CD || Ecco - The Tides of Time (USA) || Other/Sega CD/Ecco - The Tides of Time (USA)/Ecco - The Tides of Time (USA).json
Sega CD || Ecco the Dolphin (USA) || Other/Sega CD/Ecco the Dolphin (USA)/Ecco the Dolphin (USA).json
Sega CD || Eye of the Beholder (USA) || Other/Sega CD/Eye of the Beholder (USA)/Eye of the Beholder (USA).json
Sega CD || Final Fight CD (USA) || Other/Sega CD/Final Fight CD (USA)/Final Fight CD (USA).json
Sega CD || Heart of the Alien - Out of This World Parts I and II (USA) (RE) || Other/Sega CD/Heart of the Alien - Out of This World Parts I and II (USA) (RE)/Heart of the Alien - Out of This World Parts I and II (USA) (RE).json
Sega CD || Heimdall (USA) || Other/Sega CD/Heimdall (USA)/Heimdall (USA).json
Sega CD || Mansion of Hidden Souls (USA) || Other/Sega CD/Mansion of Hidden Souls (USA)/Mansion of Hidden Souls (USA).json
Sega CD || Night Striker (Japan, Korea) || Other/Sega CD/Night Striker (Japan, Korea)/Night Striker (Japan, Korea).json
Sega CD || Night Trap (USA) || Other/Sega CD/Night Trap (USA)/Night Trap (USA).json
Sega CD || Ninja Warriors, The (Japan) || Other/Sega CD/Ninja Warriors, The (Japan)/Ninja Warriors, The (Japan).json
Sega CD || Rise of the Dragon (USA) || Other/Sega CD/Rise of the Dragon (USA)/Rise of the Dragon (USA).json
Sega CD || Robo Aleste (USA) || Other/Sega CD/Robo Aleste (USA)/Robo Aleste (USA).json
Sega CD || Sega Classics Arcade Collection (USA) (RE) (4-in-1) || Other/Sega CD/Sega Classics Arcade Collection (USA) (RE) (4-in-1)/Sega Classics Arcade Collection (USA) (RE) (4-in-1).json
Sega CD || Sewer Shark (USA) || Other/Sega CD/Sewer Shark (USA)/Sewer Shark (USA).json
Sega CD || Sherlock Holmes - Consulting Detective (USA) || Other/Sega CD/Sherlock Holmes - Consulting Detective (USA)/Sherlock Holmes - Consulting Detective (USA).json
Sega CD || Shining Force CD (USA) (5R, 6R) || Other/Sega CD/Shining Force CD (USA) (5R, 6R)/Shining Force CD (USA) (5R, 6R).json
Sega CD || Silpheed (USA) || Other/Sega CD/Silpheed (USA)/Silpheed (USA).json
Sega CD || Software Toolworks' Star Wars Chess, The (USA) || Other/Sega CD/Software Toolworks' Star Wars Chess, The (USA)/Software Toolworks' Star Wars Chess, The (USA).json
Sega CD || Sonic CD (USA) || Other/Sega CD/Sonic CD (USA)/Sonic CD (USA).json
Sega CD || Star Wars - Rebel Assault (USA) || Other/Sega CD/Star Wars - Rebel Assault (USA)/Star Wars - Rebel Assault (USA).json
