Sega Master System || Alien Syndrome (USA, Europe) || Other/Sega Master System/Alien Syndrome (USA, Europe)/Alien Syndrome (USA, Europe).json
Sega Master System || Aztec Adventure - The Golden Road to Paradise (World) || Other/Sega Master System/Aztec Adventure - The Golden Road to Paradise (World)/Aztec Adventure - The Golden Road to Paradise (World).json
Sega Master System || Cloud Master (USA, Europe) || Other/Sega Master System/Cloud Master (USA, Europe)/Cloud Master (USA, Europe).json
Sega Master System || Dynamite Headdy (Brazil) || Other/Sega Master System/Dynamite Headdy (Brazil)/Dynamite Headdy (Brazil).json
Sega Master System || Fantasy Zone (Japan) || Other/Sega Master System/Fantasy Zone (Japan)/Fantasy Zone (Japan).json
Sega Master System || Fantasy Zone - The Maze (USA, Europe, Brazil) || Other/Sega Master System/Fantasy Zone - The Maze (USA, Europe, Brazil)/Fantasy Zone - The Maze (USA, Europe, Brazil).json
Sega Master System || Fantasy Zone II (USA, Europe, Brazil) || Other/Sega Master System/Fantasy Zone II (USA, Europe, Brazil)/Fantasy Zone II (USA, Europe, Brazil).json
Sega Master System || Fantasy Zone II - Opa-Opa no Namida (Japan) || Other/Sega Master System/Fantasy Zone II - Opa-Opa no Namida (Japan)/Fantasy Zone II - Opa-Opa no Namida (Japan).json
Sega Master System || Galactic Protector (Japan) || Other/Sega Master System/Galactic Protector (Japan)/Galactic Protector (Japan).json
Sega Master System || Ghost House (USA, Europe) || Other/Sega Master System/Ghost House (USA, Europe)/Ghost House (USA, Europe).json
Sega Master System || Golden Axe Warrior (USA, Europe, Brazil) || Other/Sega Master System/Golden Axe Warrior (USA, Europe, Brazil)/Golden Axe Warrior (USA, Europe, Brazil).json
Sega Master System || Maze Hunter 3-D (USA, Europe) || Other/Sega Master System/Maze Hunter 3-D (USA, Europe)/Maze Hunter 3-D (USA, Europe).json
Sega Master System || Miracle Warriors - Seal of the Dark Lord (USA, Europe) || Other/Sega Master System/Miracle Warriors - Seal of the Dark Lord (USA, Europe)/Miracle Warriors - Seal of the Dark Lord (USA, Europe).json
Sega Master System || Phantasy Star (USA, Europe) (Rev 3) || Other/Sega Master System/Phantasy Star (USA, Europe) (Rev 3)/Phantasy Star (USA, Europe) (Rev 3).json
Sega Master System || Sagaia (Europe, Brazil) || Other/Sega Master System/Sagaia (Europe, Brazil)/Sagaia (Europe, Brazil).json
Sega Master System || Sonic The Hedgehog 2 (Europe, Brazil) || Other/Sega Master System/Sonic The Hedgehog 2 (Europe, Brazil)/Sonic The Hedgehog 2 (Europe, Brazil).json
Sega Master System || Zillion (USA) (Rev 1) || Other/Sega Master System/Zillion (USA) (Rev 1)/Zillion (USA) (Rev 1).json
Sega Master System || Zillion II - The Tri Formation (World) || Other/Sega Master System/Zillion II - The Tri Formation (World)/Zillion II - The Tri Formation (World).json
